combo,n_samples
proteome,794
rna,782
proteome+rna,782
phospho,756
phospho+proteome,756
phospho+rna,746
phospho+proteome+rna,746
acetyl,435
acetyl+phospho,435
acetyl+proteome,435
acetyl+phospho+proteome,435
acetyl+rna,431
acetyl+phospho+rna,431
acetyl+proteome+rna,431
acetyl+phospho+proteome+rna,431
mirna,429
acetyl+mirna,429
mirna+phospho,429
mirna+proteome,429
mirna+rna,429
acetyl+mirna+phospho,429
acetyl+mirna+proteome,429
acetyl+mirna+rna,429
mirna+phospho+proteome,429
mirna+phospho+rna,429
mirna+proteome+rna,429
acetyl+mirna+phospho+proteome,429
acetyl+mirna+phospho+rna,429
acetyl+mirna+proteome+rna,429
mirna+phospho+proteome+rna,429
acetyl+mirna+phospho+proteome+rna,429
methyl,371
acetyl+methyl,371
methyl+phospho,371
methyl+proteome,371
acetyl+methyl+phospho,371
acetyl+methyl+proteome,371
methyl+phospho+proteome,371
acetyl+methyl+phospho+proteome,371
methyl+rna,370
acetyl+methyl+rna,370
methyl+phospho+rna,370
methyl+proteome+rna,370
acetyl+methyl+phospho+rna,370
acetyl+methyl+proteome+rna,370
methyl+phospho+proteome+rna,370
acetyl+methyl+phospho+proteome+rna,370
methyl+mirna,369
acetyl+methyl+mirna,369
methyl+mirna+phospho,369
methyl+mirna+proteome,369
methyl+mirna+rna,369
acetyl+methyl+mirna+phospho,369
acetyl+methyl+mirna+proteome,369
acetyl+methyl+mirna+rna,369
methyl+mirna+phospho+proteome,369
methyl+mirna+phospho+rna,369
methyl+mirna+proteome+rna,369
acetyl+methyl+mirna+phospho+proteome,369
acetyl+methyl+mirna+phospho+rna,369
acetyl+methyl+mirna+proteome+rna,369
methyl+mirna+phospho+proteome+rna,369
acetyl+methyl+mirna+phospho+proteome+rna,369
ubiquitin,304
acetyl+ubiquitin,304
phospho+ubiquitin,304
proteome+ubiquitin,304
acetyl+phospho+ubiquitin,304
acetyl+proteome+ubiquitin,304
phospho+proteome+ubiquitin,304
acetyl+phospho+proteome+ubiquitin,304
rna+ubiquitin,301
acetyl+rna+ubiquitin,301
phospho+rna+ubiquitin,301
proteome+rna+ubiquitin,301
acetyl+phospho+rna+ubiquitin,301
acetyl+proteome+rna+ubiquitin,301
phospho+proteome+rna+ubiquitin,301
acetyl+phospho+proteome+rna+ubiquitin,301
mirna+ubiquitin,299
acetyl+mirna+ubiquitin,299
mirna+phospho+ubiquitin,299
mirna+proteome+ubiquitin,299
mirna+rna+ubiquitin,299
acetyl+mirna+phospho+ubiquitin,299
acetyl+mirna+proteome+ubiquitin,299
acetyl+mirna+rna+ubiquitin,299
mirna+phospho+proteome+ubiquitin,299
mirna+phospho+rna+ubiquitin,299
mirna+proteome+rna+ubiquitin,299
acetyl+mirna+phospho+proteome+ubiquitin,299
acetyl+mirna+phospho+rna+ubiquitin,299
acetyl+mirna+proteome+rna+ubiquitin,299
mirna+phospho+proteome+rna+ubiquitin,299
acetyl+mirna+phospho+proteome+rna+ubiquitin,299
methyl+ubiquitin,261
acetyl+methyl+ubiquitin,261
methyl+phospho+ubiquitin,261
methyl+proteome+ubiquitin,261
methyl+rna+ubiquitin,261
acetyl+methyl+phospho+ubiquitin,261
acetyl+methyl+proteome+ubiquitin,261
acetyl+methyl+rna+ubiquitin,261
methyl+phospho+proteome+ubiquitin,261
methyl+phospho+rna+ubiquitin,261
methyl+proteome+rna+ubiquitin,261
acetyl+methyl+phospho+proteome+ubiquitin,261
acetyl+methyl+phospho+rna+ubiquitin,261
acetyl+methyl+proteome+rna+ubiquitin,261
methyl+phospho+proteome+rna+ubiquitin,261
acetyl+methyl+phospho+proteome+rna+ubiquitin,261
methyl+mirna+ubiquitin,260
acetyl+methyl+mirna+ubiquitin,260
methyl+mirna+phospho+ubiquitin,260
methyl+mirna+proteome+ubiquitin,260
methyl+mirna+rna+ubiquitin,260
acetyl+methyl+mirna+phospho+ubiquitin,260
acetyl+methyl+mirna+proteome+ubiquitin,260
acetyl+methyl+mirna+rna+ubiquitin,260
methyl+mirna+phospho+proteome+ubiquitin,260
methyl+mirna+phospho+rna+ubiquitin,260
methyl+mirna+proteome+rna+ubiquitin,260
acetyl+methyl+mirna+phospho+proteome+ubiquitin,260
acetyl+methyl+mirna+phospho+rna+ubiquitin,260
acetyl+methyl+mirna+proteome+rna+ubiquitin,260
methyl+mirna+phospho+proteome+rna+ubiquitin,260
acetyl+methyl+mirna+phospho+proteome+rna+ubiquitin,260
