layer_i,layer_j,n_intersection
acetyl,acetyl,435
methyl,acetyl,371
mirna,acetyl,429
phospho,acetyl,435
proteome,acetyl,435
rna,acetyl,431
ubiquitin,acetyl,304
acetyl,methyl,371
methyl,methyl,371
mirna,methyl,369
phospho,methyl,371
proteome,methyl,371
rna,methyl,370
ubiquitin,methyl,261
acetyl,mirna,429
methyl,mirna,369
mirna,mirna,429
phospho,mirna,429
proteome,mirna,429
rna,mirna,429
ubiquitin,mirna,299
acetyl,phospho,435
methyl,phospho,371
mirna,phospho,429
phospho,phospho,756
proteome,phospho,756
rna,phospho,746
ubiquitin,phospho,304
acetyl,proteome,435
methyl,proteome,371
mirna,proteome,429
phospho,proteome,756
proteome,proteome,794
rna,proteome,782
ubiquitin,proteome,304
acetyl,rna,431
methyl,rna,370
mirna,rna,429
phospho,rna,746
proteome,rna,782
rna,rna,782
ubiquitin,rna,301
acetyl,ubiquitin,304
methyl,ubiquitin,261
mirna,ubiquitin,299
phospho,ubiquitin,304
proteome,ubiquitin,304
rna,ubiquitin,301
ubiquitin,ubiquitin,304
