"Factor","gender_0female_1male","race","region","stage_full","staging_pn","egfr_mutation_info","immune_subtype","luad_subtype","ecog_performance_score","overall_survival"
"Factor1","0","0","1.5813020376687","0","0","8.06437906161791","14.4894507237417","2.36962378324438","0","0"
"Factor2","0","0","0","0","0","0","0","0","0","0"
"Factor3","6.51498637032406","0","3.71859664944442","0","0","14.9701832929713","2.89512675412272","8.82540842588371","5.33508615871594","0"
"Factor4","0","3.81230296870602","0","1.9482509847765","0","0","6.58403002947545","0","1.57746579649095","1.30563749239348"
"Factor5","0","0","0","1.48495177959719","1.69475187158595","0","6.31719031010871","0","0","0"
"Factor6","0","4.96623857090672","2.41546887561322","1.36147609610165","1.77482913797395","3.79808750959283","0","0","0","0"
"Factor7","3.16643700681115","1.60399695289365","1.56038884946393","0","0","0","0","0","4.2817273346434","0"
"Factor8","3.41683334867796","0","0","0","0","0","2.16472411304223","0","0","0"
"Factor9","0","0","0","0","0","3.20195828135523","0","0","1.56616826436789","0"
"Factor10","0","0","0","0","0","6.83069847130749","0","0","0","0"
"Factor11","0","1.41452637491659","0","1.94570501061831","0","0","0","0","0","0"
"Factor12","0","2.7072266621519","0","0","0","0","0","1.96233420617671","8.98027449387813","1.78033345530717"
"Factor13","0","0","1.7889564482726","0","0","0","0","0","0","0"
"Factor14","0","2.47123803602031","0","0","0","1.68583783570222","0","0","0","0"
"Factor15","0","0","0","0","0","0","0","0","0","0"
