factor,label,pval,FDR
F1,Tumor_vs_NAT,5.964262711379296e-62,8.946394067068944e-61
F2,Tumor_vs_NAT,4.061860948083633e-4,0.0030463957110627247
F3,Tumor_vs_NAT,0.14141552585603542,0.35430262850185135
F4,Tumor_vs_NAT,0.21854282383563703,0.35430262850185135
F5,Tumor_vs_NAT,0.17252289793928263,0.35430262850185135
F6,Tumor_vs_NAT,0.7212598163400844,0.7806220600409186
F7,Tumor_vs_NAT,0.8038054897687451,0.8038054897687451
F8,Tumor_vs_NAT,0.28579198850676335,0.3897163479637682
F9,Tumor_vs_NAT,0.09136955034701616,0.3426358138013106
F10,Tumor_vs_NAT,0.22593775806287641,0.35430262850185135
F11,Tumor_vs_NAT,0.04051992089898654,0.2025996044949327
F12,Tumor_vs_NAT,0.6643684172809807,0.7806220600409186
F13,Tumor_vs_NAT,0.728580589371524,0.7806220600409186
F14,Tumor_vs_NAT,0.192695735853122,0.35430262850185135
F15,Tumor_vs_NAT,0.23620175233456758,0.35430262850185135
